Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"INTC","INTEL CORPORATION CORP","Equity","3.03","66.54","247,841.00","16,491,340.14","16,491,340.14","Information Technology","US4581401001","NASDAQ","United States","USD"
"AMAT","APPLIED MATERIAL INC","Equity","2.31","143.05","87,694.00","12,544,626.70","12,544,626.70","Information Technology","US0382221051","NASDAQ","United States","USD"
"AAPL","APPLE INC","Equity","1.98","125.90","85,382.00","10,749,593.80","10,749,593.80","Information Technology","US0378331005","NASDAQ","United States","USD"
"WMT","WALMART INC","Equity","1.95","139.43","76,188.00","10,622,892.84","10,622,892.84","Consumer Staples","US9311421039","New York Stock Exchange Inc.","United States","USD"
"MU","MICRON TECHNOLOGY INC","Equity","1.84","93.75","106,712.00","10,004,250.00","10,004,250.00","Information Technology","US5951121038","NASDAQ","United States","USD"
"TGT","TARGET CORP","Equity","1.82","205.35","48,169.00","9,891,504.15","9,891,504.15","Consumer Discretionary","US87612E1064","New York Stock Exchange Inc.","United States","USD"
"LRCX","LAM RESEARCH CORP","Equity","1.70","660.80","14,005.00","9,254,504.00","9,254,504.00","Information Technology","US5128071082","NASDAQ","United States","USD"
"ANTM","ANTHEM INC","Equity","1.58","354.89","24,232.00","8,599,694.48","8,599,694.48","Health Care","US0367521038","New York Stock Exchange Inc.","United States","USD"
"NVDA","NVIDIA CORP","Equity","1.55","559.50","15,021.00","8,404,249.50","8,404,249.50","Information Technology","US67066G1040","NASDAQ","United States","USD"
"RIO","RIO TINTO PLC","Equity","1.51","76.14","107,768.00","8,205,065.40","8,205,065.40","Materials","GB0007188757","London Stock Exchange","United Kingdom","GBP"
"FDX","FEDEX CORP","Equity","1.24","281.57","23,980.00","6,752,048.60","6,752,048.60","Industrials","US31428X1063","New York Stock Exchange Inc.","United States","USD"
"MSFT","MICROSOFT CORP","Equity","1.15","249.07","24,987.00","6,223,512.09","6,223,512.09","Information Technology","US5949181045","NASDAQ","United States","USD"
