Fund Holdings as of,"05/Apr/2021"
 
Issuer Ticker,Name,Asset Class,Weight (%),Price,Nominal,Market Value,Notional Value,Sector,ISIN,Exchange,Location,Market Currency
"PENN","PENN NATIONAL GAMING INC","Equity","0.21","106.84","75,117.00","8,025,500.28","8,025,500.28","Consumer Discretionary","US7075691094","NASDAQ","United States","USD"
"CZR","CAESARS ENTERTAINMENT INC","Equity","0.21","90.18","87,856.00","7,922,854.08","7,922,854.08","Consumer Discretionary","US12769G1004","NASDAQ","United States","USD"
"USD","USD CASH","Cash","0.20","100.00","7,792,424.00","7,792,423.58","7,792,423.58","Cash and/or Derivatives","-","-","United States","USD"
"LB","L BRANDS INC","Equity","0.19","61.76","119,254.00","7,365,127.04","7,365,127.04","Consumer Discretionary","US5017971046","New York Stock Exchange Inc.","United States","USD"
"ENTG","ENTEGRIS INC","Equity","0.19","120.41","60,901.00","7,333,089.41","7,333,089.41","Information Technology","US29362U1043","NASDAQ","United States","USD"
"CRL","CHARLES RIVER LABORATORIES INTERNA","Equity","0.19","297.89","23,848.00","7,104,080.72","7,104,080.72","Health Care","US1598641074","New York Stock Exchange Inc.","United States","USD"
"TECH","BIO TECHNE CORP","Equity","0.18","396.79","17,447.00","6,922,795.13","6,922,795.13","Health Care","US09073M1045","NASDAQ","United States","USD"
"EUR","EUR CASH","Cash","0.17","117.98","5,574,407.00","6,576,964.30","6,576,964.30","Cash and/or Derivatives","-","-","European Union","EUR"
"WSM","WILLIAMS SONOMA INC","Equity","0.17","182.88","35,930.00","6,570,878.40","6,570,878.40","Consumer Discretionary","US9699041011","New York Stock Exchange Inc.","United States","USD"
"CREE","CREE INC","Equity","0.17","115.74","54,694.00","6,330,283.56","6,330,283.56","Information Technology","US2254471012","NASDAQ","United States","USD"
"SBNY","SIGNATURE BANK","Equity","0.16","228.19","27,427.00","6,258,567.13","6,258,567.13","Financials","US82669G1040","NASDAQ","United States","USD"
"TPR","TAPESTRY INC","Equity","0.16","42.69","144,904.00","6,185,951.76","6,185,951.76","Consumer Discretionary","US8760301072","New York Stock Exchange Inc.","United States","USD"
"NUAN","NUANCE COMMUNICATIONS INC","Equity","0.16","44.25","138,744.00","6,139,422.00","6,139,422.00","Information Technology","US67020Y1001","NASDAQ","United States","USD"
"GH","GUARDANT HEALTH INC","Equity","0.16","159.00","37,772.00","6,005,748.00","6,005,748.00","Health Care","US40131M1099","NASDAQ","United States","USD"
"PWR","QUANTA SERVICES INC","Equity","0.16","91.93","64,824.00","5,959,270.32","5,959,270.32","Industrials","US74762E1029","New York Stock Exchange Inc.","United States","USD"
"SAM","BOSTON BEER INC CLASS A","Equity","0.16","1,211.08","4,876.00","5,905,226.08","5,905,226.08","Consumer Staples","US1005571070","New York Stock Exchange Inc.","United States","USD"
"FANG","DIAMONDBACK ENERGY INC","Equity","0.15","75.40","76,261.00","5,750,079.40","5,750,079.40","Energy","US25278X1090","NASDAQ","United States","USD"
"FIVN","FIVE9 INC","Equity","0.14","162.49","33,752.00","5,484,362.48","5,484,362.48","Information Technology","US3383071012","NASDAQ","United States","USD"
"GGG","GRACO INC","Equity","0.14","73.66","74,403.00","5,480,524.98","5,480,524.98","Industrials","US3841091040","New York Stock Exchange Inc.","United States","USD"
"EWBC","EAST WEST BANCORP INC","Equity","0.14","74.33","73,692.00","5,477,526.36","5,477,526.36","Financials","US27579R1041","NASDAQ","United States","USD"
"LPLA","LPL FINANCIAL HOLDINGS INC","Equity","0.14","145.18","37,391.00","5,428,425.38","5,428,425.38","Financials","US50212V1008","NASDAQ","United States","USD"
"DAR","DARLING INGREDIENTS INC","Equity","0.14","72.95","74,075.00","5,403,771.25","5,403,771.25","Consumer Staples","US2372661015","New York Stock Exchange Inc.","United States","USD"
"CHGG","CHEGG INC","Equity","0.14","89.02","60,591.00","5,393,810.82","5,393,810.82","Consumer Discretionary","US1630921096","New York Stock Exchange Inc.","United States","USD"
"NVAX","NOVAVAX INC","Equity","0.14","177.29","29,882.00","5,297,779.78","5,297,779.78","Health Care","US6700024010","NASDAQ","United States","USD"
"FHN","FIRST HORIZON CORP","Equity","0.14","17.27","306,556.00","5,294,222.12","5,294,222.12","Financials","US3205171057","New York Stock Exchange Inc.","United States","USD"
"CMA","COMERICA INC","Equity","0.14","72.44","72,720.00","5,267,836.80","5,267,836.80","Financials","US2003401070","New York Stock Exchange Inc.","United States","USD"
"PRAH","PRA HEALTH SCIENCES INC","Equity","0.14","157.09","33,117.00","5,202,349.53","5,202,349.53","Health Care","US69354M1080","NASDAQ","United States","USD"
"TREX","TREX INC","Equity","0.14","94.86","54,786.00","5,196,999.96","5,196,999.96","Industrials","US89531P1057","New York Stock Exchange Inc.","United States","USD"
"GME","GAMESTOP CORP CLASS A","Equity","0.14","186.95","27,516.00","5,144,116.20","5,144,116.20","Consumer Discretionary","US36467W1099","New York Stock Exchange Inc.","United States","USD"
"BFAM","BRIGHT HORIZONS FAMILY SOLUTIONS I","Equity","0.14","180.40","28,509.00","5,143,023.60","5,143,023.60","Consumer Discretionary","US1091941005","New York Stock Exchange Inc.","United States","USD"
"TTC","TORO","Equity","0.13","105.34","48,461.00","5,104,881.74","5,104,881.74","Industrials","US8910921084","New York Stock Exchange Inc.","United States","USD"
"FIVE","FIVE BELOW INC","Equity","0.13","199.15","25,611.00","5,100,430.65","5,100,430.65","Consumer Discretionary","US33829M1018","NASDAQ","United States","USD"
"MKSI","MKS INSTRUMENTS INC","Equity","0.13","196.86","25,298.00","4,980,164.28","4,980,164.28","Information Technology","US55306N1046","NASDAQ","United States","USD"
